legacy_ref,legacy_command,legacy_alias_or_content,legacy_path,legacy_directory,legacy_filename,item_type,legacy_section,new_path_target,migration_status,action_required
B01,b-infra,Mega-bundle INFRA complet,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOKS_IT_INFRA.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOKS_IT_INFRA.md,bundle,🖥️ INFRA — Bundles (B01–B09),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B02,b-cloud,"Mega-bundle Cloud (M365, Azure, AWS, GCP)",IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOKS_IT_CLOUD.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOKS_IT_CLOUD.md,bundle,🖥️ INFRA — Bundles (B01–B09),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B03,b-reseau-voip,Réseau + VoIP combinés,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOKS_IT_RESEAU_VOIP.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOKS_IT_RESEAU_VOIP.md,bundle,🖥️ INFRA — Bundles (B01–B09),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B04,b-virtualiz,Virtualisation — Hyper-V + VMware + XCP-ng,IT-SHARED/60_BUNDLES/BUNDLE_INFRA_VIRTUALISATION.md,IT-SHARED/60_BUNDLES,BUNDLE_INFRA_VIRTUALISATION.md,bundle,🖥️ INFRA — Bundles (B01–B09),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B05,b-ad,"AD opérations — DC, users, GPO, réplication",IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_AD-Operations_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_INFRA_AD-Operations_V1.md,bundle,🖥️ INFRA — Bundles (B01–B09),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B06,b-hyperv,"Hyperviseurs — Hyper-V, VMware, XCP-ng détaillé",IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_Hyperviseurs_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_INFRA_Hyperviseurs_V1.md,bundle,🖥️ INFRA — Bundles (B01–B09),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B07,b-m365,"M365 complet — Exchange, Intune, Teams, Entra",IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_M365_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_INFRA_M365_V1.md,bundle,🖥️ INFRA — Bundles (B01–B09),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B08,b-rds,"RDS — sessions, services, profils, licences",IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_RDS-Operations_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_INFRA_RDS-Operations_V1.md,bundle,🖥️ INFRA — Bundles (B01–B09),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B09,b-fw-vpn,"Firewalls + VPN — Fortinet, WatchGuard, SonicWall, Meraki",IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_Firewall-VPN_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_INFRA_Firewall-VPN_V1.md,bundle,🖥️ INFRA — Bundles (B01–B09),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
01,dc,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__DC_PrePost_Validation,IT-SHARED/10_RUNBOOKS/INFRA,INFRA__RUNBOOK__DC_PrePost_Validation,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
